"year","period","periodName","value","state","quarter"
1999,"M03","March","2.8","VA",1
1999,"M06","June","2.9","VA",2
1999,"M09","September","2.8","VA",3
1999,"M12","December","2.4","VA",4
2000,"M03","March","2.6","VA",1
2000,"M06","June","2.4","VA",2
2000,"M09","September","2.1","VA",3
2000,"M12","December","1.8","VA",4
2001,"M03","March","2.8","VA",1
2001,"M06","June","3.2","VA",2
2001,"M09","September","3.6","VA",3
2001,"M12","December","3.9","VA",4
2002,"M03","March","4.4","VA",1
2002,"M06","June","4.4","VA",2
2002,"M09","September","3.9","VA",3
2002,"M12","December","4.0","VA",4
2003,"M03","March","4.3","VA",1
2003,"M06","June","4.5","VA",2
2003,"M09","September","4.0","VA",3
2003,"M12","December","3.6","VA",4
2004,"M03","March","4.2","VA",1
2004,"M06","June","4.2","VA",2
2004,"M09","September","3.5","VA",3
2004,"M12","December","3.5","VA",4
2005,"M03","March","3.8","VA",1
2005,"M06","June","3.8","VA",2
2005,"M09","September","3.5","VA",3
2005,"M12","December","3.1","VA",4
2006,"M03","March","3.2","VA",1
2006,"M06","June","3.3","VA",2
2006,"M09","September","3.1","VA",3
2006,"M12","December","2.8","VA",4
2007,"M03","March","2.9","VA",1
2007,"M06","June","3.1","VA",2
2007,"M09","September","3.0","VA",3
2007,"M12","December","3.3","VA",4
2008,"M03","March","3.6","VA",1
2008,"M06","June","4.0","VA",2
2008,"M09","September","4.0","VA",3
2008,"M12","December","4.9","VA",4
2009,"M03","March","6.6","VA",1
2009,"M06","June","7.0","VA",2
2009,"M09","September","6.9","VA",3
2009,"M12","December","7.2","VA",4
2010,"M03","March","7.7","VA",1
2010,"M06","June","7.2","VA",2
2010,"M09","September","6.8","VA",3
2010,"M12","December","6.7","VA",4
2011,"M03","March","6.6","VA",1
2011,"M06","June","6.9","VA",2
2011,"M09","September","6.7","VA",3
2011,"M12","December","6.2","VA",4
2012,"M03","March","6.2","VA",1
2012,"M06","June","6.4","VA",2
2012,"M09","September","5.8","VA",3
2012,"M12","December","5.6","VA",4
2013,"M03","March","5.7","VA",1
2013,"M06","June","6.0","VA",2
2013,"M09","September","5.6","VA",3
2013,"M12","December","5.1","VA",4
2014,"M03","March","5.6","VA",1
2014,"M06","June","5.4","VA",2
2014,"M09","September","5.1","VA",3
2014,"M12","December","4.6","VA",4
2015,"M03","March","4.8","VA",1
2015,"M06","June","4.6","VA",2
2015,"M09","September","4.1","VA",3
2015,"M12","December","3.8","VA",4
2016,"M03","March","4.1","VA",1
2016,"M06","June","4.3","VA",2
2016,"M09","September","4.2","VA",3
2016,"M12","December","3.8","VA",4
2017,"M03","March","3.9","VA",1
2017,"M06","June","3.8","VA",2
2017,"M09","September","3.5","VA",3
2017,"M12","December","3.1","VA",4
2018,"M03","March","3.2","VA",1
2018,"M06","June","3.3","VA",2
2018,"M09","September","2.8","VA",3
2018,"M12","December","2.8","VA",4
2019,"M03","March","3.0","VA",1
2019,"M06","June","2.9","VA",2
2019,"M09","September","2.6","VA",3
2019,"M12","December","2.4","VA",4
2020,"M03","March","3.3","VA",1
2020,"M06","June","8.2","VA",2
2020,"M09","September","true","VA",3
1976,"M03","March","9.5","VT",1
1976,"M06","June","8.5","VT",2
1976,"M09","September","7.7","VT",3
1976,"M12","December","7.3","VT",4
1977,"M03","March","8.3","VT",1
1977,"M06","June","6.7","VT",2
1977,"M09","September","6.4","VT",3
1977,"M12","December","6.0","VT",4
1978,"M03","March","6.4","VT",1
1978,"M06","June","5.4","VT",2
1978,"M09","September","5.1","VT",3
1978,"M12","December","5.0","VT",4
1979,"M03","March","5.7","VT",1
1979,"M06","June","4.7","VT",2
1979,"M09","September","4.8","VT",3
1979,"M12","December","4.8","VT",4
1980,"M03","March","6.3","VT",1
1980,"M06","June","6.3","VT",2
1980,"M09","September","6.3","VT",3
1980,"M12","December","5.5","VT",4
1981,"M03","March","6.4","VT",1
1981,"M06","June","5.6","VT",2
1981,"M09","September","5.4","VT",3
1981,"M12","December","5.6","VT",4
1982,"M03","March","7.5","VT",1
1982,"M06","June","6.7","VT",2
1982,"M09","September","6.5","VT",3
1982,"M12","December","6.7","VT",4
1983,"M03","March","7.8","VT",1
1983,"M06","June","6.3","VT",2
1983,"M09","September","5.3","VT",3
1983,"M12","December","5.2","VT",4
1984,"M03","March","6.4","VT",1
1984,"M06","June","4.9","VT",2
1984,"M09","September","4.3","VT",3
1984,"M12","December","4.4","VT",4
1985,"M03","March","5.7","VT",1
1985,"M06","June","4.7","VT",2
1985,"M09","September","4.3","VT",3
1985,"M12","December","4.1","VT",4
1986,"M03","March","5.2","VT",1
1986,"M06","June","4.2","VT",2
1986,"M09","September","3.9","VT",3
1986,"M12","December","3.6","VT",4
1987,"M03","March","4.5","VT",1
1987,"M06","June","3.5","VT",2
1987,"M09","September","3.2","VT",3
1987,"M12","December","2.7","VT",4
1988,"M03","March","3.6","VT",1
1988,"M06","June","2.8","VT",2
1988,"M09","September","2.8","VT",3
1988,"M12","December","2.7","VT",4
1989,"M03","March","3.9","VT",1
1989,"M06","June","3.4","VT",2
1989,"M09","September","3.4","VT",3
1989,"M12","December","3.7","VT",4
1990,"M03","March","5.4","VT",1
1990,"M06","June","4.7","VT",2
1990,"M09","September","4.6","VT",3
1990,"M12","December","5.8","VT",4
1991,"M03","March","7.7","VT",1
1991,"M06","June","6.9","VT",2
1991,"M09","September","5.5","VT",3
1991,"M12","December","6.1","VT",4
1992,"M03","March","7.3","VT",1
1992,"M06","June","6.0","VT",2
1992,"M09","September","5.3","VT",3
1992,"M12","December","5.2","VT",4
1993,"M03","March","6.1","VT",1
1993,"M06","June","5.1","VT",2
1993,"M09","September","4.5","VT",3
1993,"M12","December","4.6","VT",4
1994,"M03","March","5.4","VT",1
1994,"M06","June","4.5","VT",2
1994,"M09","September","4.0","VT",3
1994,"M12","December","3.9","VT",4
1995,"M03","March","4.9","VT",1
1995,"M06","June","4.2","VT",2
1995,"M09","September","3.9","VT",3
1995,"M12","December","3.9","VT",4
1996,"M03","March","5.0","VT",1
1996,"M06","June","4.3","VT",2
1996,"M09","September","3.9","VT",3
1996,"M12","December","3.8","VT",4
1997,"M03","March","4.7","VT",1
1997,"M06","June","3.9","VT",2
1997,"M09","September","3.4","VT",3
1997,"M12","December","3.4","VT",4
1998,"M03","March","4.1","VT",1
1998,"M06","June","3.4","VT",2
1998,"M09","September","3.0","VT",3
1998,"M12","December","2.8","VT",4
1999,"M03","March","3.6","VT",1
1999,"M06","June","3.0","VT",2
1999,"M09","September","2.6","VT",3
1999,"M12","December","2.4","VT",4
2000,"M03","March","3.1","VT",1
2000,"M06","June","2.8","VT",2
2000,"M09","September","2.7","VT",3
2000,"M12","December","2.6","VT",4
2001,"M03","March","3.7","VT",1
2001,"M06","June","3.3","VT",2
2001,"M09","September","3.1","VT",3
2001,"M12","December","3.4","VT",4
2002,"M03","March","4.5","VT",1
2002,"M06","June","3.9","VT",2
2002,"M09","September","3.8","VT",3
2002,"M12","December","4.0","VT",4
2003,"M03","March","5.0","VT",1
2003,"M06","June","4.2","VT",2
2003,"M09","September","4.1","VT",3
2003,"M12","December","3.8","VT",4
2004,"M03","March","4.5","VT",1
2004,"M06","June","3.6","VT",2
2004,"M09","September","3.2","VT",3
2004,"M12","December","3.3","VT",4
2005,"M03","March","4.1","VT",1
2005,"M06","June","3.4","VT",2
2005,"M09","September","3.2","VT",3
2005,"M12","December","3.2","VT",4
2006,"M03","March","4.2","VT",1
2006,"M06","June","3.7","VT",2
2006,"M09","September","3.5","VT",3
2006,"M12","December","3.5","VT",4
2007,"M03","March","4.6","VT",1
2007,"M06","June","3.9","VT",2
2007,"M09","September","3.8","VT",3
2007,"M12","December","3.9","VT",4
2008,"M03","March","5.1","VT",1
2008,"M06","June","4.5","VT",2
2008,"M09","September","4.5","VT",3
2008,"M12","December","5.3","VT",4
2009,"M03","March","7.6","VT",1
2009,"M06","June","6.9","VT",2
2009,"M09","September","6.0","VT",3
2009,"M12","December","6.1","VT",4
2010,"M03","March","7.0","VT",1
2010,"M06","June","6.1","VT",2
2010,"M09","September","5.6","VT",3
2010,"M12","December","5.7","VT",4
2011,"M03","March","6.2","VT",1
2011,"M06","June","5.3","VT",2
2011,"M09","September","5.2","VT",3
2011,"M12","December","4.8","VT",4
2012,"M03","March","5.5","VT",1
2012,"M06","June","5.1","VT",2
2012,"M09","September","4.8","VT",3
2012,"M12","December","4.4","VT",4
2013,"M03","March","4.9","VT",1
2013,"M06","June","4.5","VT",2
2013,"M09","September","4.2","VT",3
2013,"M12","December","3.9","VT",4
2014,"M03","March","4.5","VT",1
2014,"M06","June","3.9","VT",2
2014,"M09","September","3.7","VT",3
2014,"M12","December","3.5","VT",4
2015,"M03","March","4.0","VT",1
2015,"M06","June","3.6","VT",2
2015,"M09","September","3.4","VT",3
2015,"M12","December","3.1","VT",4
2016,"M03","March","3.6","VT",1
2016,"M06","June","3.3","VT",2
2016,"M09","September","3.1","VT",3
2016,"M12","December","2.8","VT",4
2017,"M03","March","3.4","VT",1
2017,"M06","June","3.0","VT",2
2017,"M09","September","2.8","VT",3
2017,"M12","December","2.4","VT",4
2018,"M03","March","3.0","VT",1
2018,"M06","June","2.7","VT",2
2018,"M09","September","2.4","VT",3
2018,"M12","December","2.1","VT",4
2019,"M03","March","2.7","VT",1
2019,"M06","June","2.5","VT",2
2019,"M09","September","2.3","VT",3
2019,"M12","December","2.1","VT",4
2020,"M03","March","3.4","VT",1
2020,"M06","June","9.5","VT",2
2020,"M09","September","true","VT",3
1976,"M03","March","9.8","WA",1
1976,"M06","June","8.6","WA",2
1976,"M09","September","8.2","WA",3
1976,"M12","December","8.9","WA",4
1977,"M03","March","10.4","WA",1
1977,"M06","June","8.7","WA",2
1977,"M09","September","7.1","WA",3
1977,"M12","December","6.5","WA",4
1978,"M03","March","7.8","WA",1
1978,"M06","June","6.5","WA",2
1978,"M09","September","6.3","WA",3
1978,"M12","December","7.1","WA",4
1979,"M03","March","7.6","WA",1
1979,"M06","June","6.3","WA",2
1979,"M09","September","6.0","WA",3
1979,"M12","December","6.7","WA",4
1980,"M03","March","7.9","WA",1
1980,"M06","June","8.3","WA",2
1980,"M09","September","7.5","WA",3
1980,"M12","December","8.8","WA",4
1981,"M03","March","9.6","WA",1
1981,"M06","June","9.2","WA",2
1981,"M09","September","9.0","WA",3
1981,"M12","December","11.3","WA",4
1982,"M03","March","12.5","WA",1
1982,"M06","June","11.9","WA",2
1982,"M09","September","11.2","WA",3
1982,"M12","December","12.4","WA",4
1983,"M03","March","12.5","WA",1
1983,"M06","June","11.2","WA",2
1983,"M09","September","9.9","WA",3
1983,"M12","December","10.2","WA",4
1984,"M03","March","10.3","WA",1
1984,"M06","June","8.8","WA",2
1984,"M09","September","8.2","WA",3
1984,"M12","December","9.0","WA",4
1985,"M03","March","9.3","WA",1
1985,"M06","June","8.3","WA",2
1985,"M09","September","7.3","WA",3
1985,"M12","December","7.9","WA",4
1986,"M03","March","8.8","WA",1
1986,"M06","June","8.0","WA",2
1986,"M09","September","7.5","WA",3
1986,"M12","December","8.0","WA",4
1987,"M03","March","8.5","WA",1
1987,"M06","June","6.9","WA",2
1987,"M09","September","6.5","WA",3
1987,"M12","December","6.8","WA",4
1988,"M03","March","7.3","WA",1
1988,"M06","June","6.1","WA",2
1988,"M09","September","5.7","WA",3
1988,"M12","December","5.8","WA",4
1989,"M03","March","6.4","WA",1
1989,"M06","June","5.8","WA",2
1989,"M09","September","5.3","WA",3
1989,"M12","December","5.6","WA",4
1990,"M03","March","5.8","WA",1
1990,"M06","June","4.7","WA",2
1990,"M09","September","4.5","WA",3
1990,"M12","December","5.8","WA",4
1991,"M03","March","6.7","WA",1
1991,"M06","June","6.1","WA",2
1991,"M09","September","5.8","WA",3
1991,"M12","December","7.0","WA",4
1992,"M03","March","7.7","WA",1
1992,"M06","June","7.2","WA",2
1992,"M09","September","6.8","WA",3
1992,"M12","December","7.8","WA",4
1993,"M03","March","8.1","WA",1
1993,"M06","June","7.2","WA",2
1993,"M09","September","6.5","WA",3
1993,"M12","December","6.8","WA",4
1994,"M03","March","7.6","WA",1
1994,"M06","June","6.3","WA",2
1994,"M09","September","5.7","WA",3
1994,"M12","December","6.1","WA",4
1995,"M03","March","6.7","WA",1
1995,"M06","June","6.3","WA",2
1995,"M09","September","5.9","WA",3
1995,"M12","December","6.4","WA",4
1996,"M03","March","6.8","WA",1
1996,"M06","June","5.9","WA",2
1996,"M09","September","5.3","WA",3
1996,"M12","December","5.5","WA",4
1997,"M03","March","5.7","WA",1
1997,"M06","June","4.8","WA",2
1997,"M09","September","4.3","WA",3
1997,"M12","December","4.5","WA",4
1998,"M03","March","5.3","WA",1
1998,"M06","June","4.7","WA",2
1998,"M09","September","4.6","WA",3
1998,"M12","December","4.8","WA",4
1999,"M03","March","5.2","WA",1
1999,"M06","June","5.0","WA",2
1999,"M09","September","4.5","WA",3
1999,"M12","December","4.7","WA",4
2000,"M03","March","5.5","WA",1
2000,"M06","June","5.0","WA",2
2000,"M09","September","4.7","WA",3
2000,"M12","December","5.3","WA",4
2001,"M03","March","6.4","WA",1
2001,"M06","June","6.1","WA",2
2001,"M09","September","5.9","WA",3
2001,"M12","December","7.3","WA",4
2002,"M03","March","8.0","WA",1
2002,"M06","June","7.3","WA",2
2002,"M09","September","6.7","WA",3
2002,"M12","December","7.4","WA",4
2003,"M03","March","8.0","WA",1
2003,"M06","June","7.6","WA",2
2003,"M09","September","6.9","WA",3
2003,"M12","December","7.0","WA",4
2004,"M03","March","7.2","WA",1
2004,"M06","June","6.2","WA",2
2004,"M09","September","5.4","WA",3
2004,"M12","December","5.9","WA",4
2005,"M03","March","6.0","WA",1
2005,"M06","June","5.5","WA",2
2005,"M09","September","5.2","WA",3
2005,"M12","December","5.1","WA",4
2006,"M03","March","5.3","WA",1
2006,"M06","June","5.0","WA",2
2006,"M09","September","4.7","WA",3
2006,"M12","December","4.9","WA",4
2007,"M03","March","5.0","WA",1
2007,"M06","June","4.5","WA",2
2007,"M09","September","4.3","WA",3
2007,"M12","December","4.8","WA",4
2008,"M03","March","5.2","WA",1
2008,"M06","June","5.2","WA",2
2008,"M09","September","5.1","WA",3
2008,"M12","December","6.6","WA",4
2009,"M03","March","8.5","WA",1
2009,"M06","June","9.2","WA",2
2009,"M09","September","9.7","WA",3
2009,"M12","December","10.5","WA",4
2010,"M03","March","10.9","WA",1
2010,"M06","June","9.8","WA",2
2010,"M09","September","9.3","WA",3
2010,"M12","December","9.6","WA",4
2011,"M03","March","9.9","WA",1
2011,"M06","June","9.4","WA",2
2011,"M09","September","8.7","WA",3
2011,"M12","December","8.8","WA",4
2012,"M03","March","8.9","WA",1
2012,"M06","June","8.2","WA",2
2012,"M09","September","7.3","WA",3
2012,"M12","December","7.6","WA",4
2013,"M03","March","7.4","WA",1
2013,"M06","June","7.0","WA",2
2013,"M09","September","6.4","WA",3
2013,"M12","December","6.7","WA",4
2014,"M03","March","6.7","WA",1
2014,"M06","June","5.8","WA",2
2014,"M09","September","5.6","WA",3
2014,"M12","December","5.9","WA",4
2015,"M03","March","6.0","WA",1
2015,"M06","June","5.5","WA",2
2015,"M09","September","5.1","WA",3
2015,"M12","December","5.7","WA",4
2016,"M03","March","5.8","WA",1
2016,"M06","June","5.2","WA",2
2016,"M09","September","4.8","WA",3
2016,"M12","December","5.0","WA",4
2017,"M03","March","5.0","WA",1
2017,"M06","June","4.5","WA",2
2017,"M09","September","4.3","WA",3
2017,"M12","December","4.7","WA",4
2018,"M03","March","4.8","WA",1
2018,"M06","June","4.3","WA",2
2018,"M09","September","4.0","WA",3
2018,"M12","December","4.7","WA",4
2019,"M03","March","4.8","WA",1
2019,"M06","June","4.2","WA",2
2019,"M09","September","3.7","WA",3
2019,"M12","December","4.0","WA",4
2020,"M03","March","5.4","WA",1
2020,"M06","June","9.9","WA",2
2020,"M09","September","true","WA",3
1976,"M03","March","6.6","WI",1
1976,"M06","June","5.8","WI",2
1976,"M09","September","4.5","WI",3
1976,"M12","December","4.9","WI",4
1977,"M03","March","6.8","WI",1
1977,"M06","June","5.6","WI",2
1977,"M09","September","4.4","WI",3
1977,"M12","December","4.3","WI",4
1978,"M03","March","5.8","WI",1
1978,"M06","June","5.3","WI",2
1978,"M09","September","4.3","WI",3
1978,"M12","December","5.0","WI",4
1979,"M03","March","5.4","WI",1
1979,"M06","June","4.9","WI",2
1979,"M09","September","3.8","WI",3
1979,"M12","December","4.2","WI",4
1980,"M03","March","6.7","WI",1
1980,"M06","June","7.5","WI",2
1980,"M09","September","7.6","WI",3
1980,"M12","December","7.7","WI",4
1981,"M03","March","9.3","WI",1
1981,"M06","June","8.2","WI",2
1981,"M09","September","6.9","WI",3
1981,"M12","December","8.4","WI",4
1982,"M03","March","10.8","WI",1
1982,"M06","June","10.7","WI",2
1982,"M09","September","10.1","WI",3
1982,"M12","December","11.7","WI",4
1983,"M03","March","12.8","WI",1
1983,"M06","June","10.5","WI",2
1983,"M09","September","8.5","WI",3
1983,"M12","December","8.3","WI",4
1984,"M03","March","8.8","WI",1
1984,"M06","June","7.5","WI",2
1984,"M09","September","6.2","WI",3
1984,"M12","December","6.5","WI",4
1985,"M03","March","8.4","WI",1
1985,"M06","June","7.3","WI",2
1985,"M09","September","6.4","WI",3
1985,"M12","December","6.8","WI",4
1986,"M03","March","8.3","WI",1
1986,"M06","June","7.3","WI",2
1986,"M09","September","6.2","WI",3
1986,"M12","December","6.1","WI",4
1987,"M03","March","7.4","WI",1
1987,"M06","June","6.1","WI",2
1987,"M09","September","4.9","WI",3
1987,"M12","December","4.9","WI",4
1988,"M03","March","5.7","WI",1
1988,"M06","June","4.5","WI",2
1988,"M09","September","3.5","WI",3
1988,"M12","December","3.8","WI",4
1989,"M03","March","5.1","WI",1
1989,"M06","June","4.7","WI",2
1989,"M09","September","3.7","WI",3
1989,"M12","December","3.8","WI",4
1990,"M03","March","5.1","WI",1
1990,"M06","June","4.2","WI",2
1990,"M09","September","3.9","WI",3
1990,"M12","December","4.5","WI",4
1991,"M03","March","6.9","WI",1
1991,"M06","June","5.8","WI",2
1991,"M09","September","4.7","WI",3
1991,"M12","December","4.9","WI",4
1992,"M03","March","5.9","WI",1
1992,"M06","June","5.7","WI",2
1992,"M09","September","4.7","WI",3
1992,"M12","December","4.3","WI",4
1993,"M03","March","5.8","WI",1
1993,"M06","June","5.3","WI",2
1993,"M09","September","4.0","WI",3
1993,"M12","December","4.3","WI",4
1994,"M03","March","5.8","WI",1
1994,"M06","June","4.8","WI",2
1994,"M09","September","3.7","WI",3
1994,"M12","December","3.3","WI",4
1995,"M03","March","4.6","WI",1
1995,"M06","June","3.9","WI",2
1995,"M09","September","3.1","WI",3
1995,"M12","December","3.4","WI",4
1996,"M03","March","4.4","WI",1
1996,"M06","June","3.8","WI",2
1996,"M09","September","2.8","WI",3
1996,"M12","December","3.1","WI",4
1997,"M03","March","4.5","WI",1
1997,"M06","June","3.8","WI",2
1997,"M09","September","3.0","WI",3
1997,"M12","December","3.0","WI",4
1998,"M03","March","4.1","WI",1
1998,"M06","June","3.6","WI",2
1998,"M09","September","3.0","WI",3
1998,"M12","December","3.0","WI",4
1999,"M03","March","3.8","WI",1
1999,"M06","June","3.3","WI",2
1999,"M09","September","2.5","WI",3
1999,"M12","December","2.7","WI",4
2000,"M03","March","4.2","WI",1
2000,"M06","June","3.9","WI",2
2000,"M09","September","3.0","WI",3
2000,"M12","December","3.3","WI",4
2001,"M03","March","5.1","WI",1
2001,"M06","June","4.8","WI",2
2001,"M09","September","3.9","WI",3
2001,"M12","December","4.8","WI",4
2002,"M03","March","6.4","WI",1
2002,"M06","June","5.6","WI",2
2002,"M09","September","4.5","WI",3
2002,"M12","December","5.1","WI",4
2003,"M03","March","6.7","WI",1
2003,"M06","June","6.2","WI",2
2003,"M09","September","5.0","WI",3
2003,"M12","December","4.9","WI",4
2004,"M03","March","6.3","WI",1
2004,"M06","June","5.3","WI",2
2004,"M09","September","4.1","WI",3
2004,"M12","December","4.4","WI",4
2005,"M03","March","5.5","WI",1
2005,"M06","June","4.9","WI",2
2005,"M09","September","4.1","WI",3
2005,"M12","December","4.5","WI",4
2006,"M03","March","5.6","WI",1
